Title,Type,Timestamp,Account Currency,Total Amount,Buy / Sell,Ticker,ISIN,Price per Share in Account Currency,Stamp Duty,Quantity,Venue,Order ID,Order Type,Instrument Currency,Total Shares Amount,Price per Share,FX Rate,Base FX Rate,FX Fee (BPS),FX Fee Amount,Dividend Ex Date,Dividend Pay Date,Dividend Eligible Quantity,Dividend Amount Per Share,Dividend Gross Distribution Amount,Dividend Net Distribution Amount,Dividend Withheld Tax Percentage,Dividend Withheld Tax Amount,Stock Split Ex Date,Stock Split Pay Date,Stock Split New ISIN,Stock Split Rate of Share Outturn From,Stock Split Rate of Share Outturn To,Stock Split Maintain Holding of Initial ISIN,Stock Split New Share Quantity,Stock Split Rate of Cash Outturn Amount,Stock Split Rate of Cash Outturn Currency,Stock Split Cash Outturn Received Amount,Stock Split Has Fractional Payout,Stock Split Rate of Fractional Payout Amount,Stock Split Rate of Fractional Payout Currency,Stock Split Fractional Payout Cash Received Amount,Stock Split Fractional Payout Cash Received Currency
November Statement,MONTHLY_STATEMENT,2025-11-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Certificate 2024-25,TAX_CERTIFICATE,2025-10-28T17:24:15.603Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-10-15T00:00:00.000Z,GBP,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechCorp,DIVIDEND,2025-09-20T11:30:00.000Z,GBP,3.50,,TECH,US1234567890,,,10.00000000,,,,USD,,,,0.78500000,0,0.00,2025-08-25,2025-09-20,10.00000000,0.55000000,5.50,4.68,15,0.83,,,,,,,,,,,,,,,
September Statement,MONTHLY_STATEMENT,2025-09-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-08-15T00:00:00.000Z,GBP,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GlobalBank,ORDER,2025-07-15T14:30:25.123Z,GBP,2500.00,SELL,GBNK,GB0987654321,125.00000000,0.00,20.00000000,London Stock Exchange,ORD123456789,BASIC,GBP,2500.00,125.00000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
August Statement,MONTHLY_STATEMENT,2025-08-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RetailGroup,ORDER,2025-07-10T09:15:42.456Z,GBP,1800.50,BUY,RTLG,GB1122334455,45.01250000,0.00,40.00000000,Multiple,ORD987654321,MARKET,GBP,1800.50,45.01250000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-07-15T00:00:00.000Z,GBP,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
