date,type,symbol,currency,name,quantity,price,total,fee,notes
2022-05-15,BUY,ACME,USD,Restricted Stock Lapse,20,150.00,3000.00,,"RSU vest"
2022-08-15,BUY,ACME,USD,Restricted Stock Lapse,18,145.00,2610.00,,"RSU vest"
2022-11-15,BUY,TECH,USD,Restricted Stock Lapse,22,90.00,1980.00,,"RSU vest"
2023-02-15,BUY,TECH,USD,Restricted Stock Lapse,20,140.00,2800.00,,"RSU vest"
2023-05-12,SELL,ACME,USD,ACME CORP CLASS A,38,185.00,7030.00,0.10,
2023-05-15,BUY,DIGI,USD,Restricted Stock Lapse,15,180.00,2700.00,,"RSU vest"
2023-05-15,BUY,DIGI,USD,Restricted Stock Lapse,20,180.00,3600.00,,"RSU vest"
2023-05-31,SELL,TECH,USD,TECH INC CLASS A,40,205.00,8200.00,0.10,
2023-08-15,BUY,DIGI,USD,Restricted Stock Lapse,14,240.00,3360.00,,"RSU vest"
2023-08-15,BUY,DIGI,USD,Restricted Stock Lapse,20,240.00,4800.00,,"RSU vest"
2023-11-15,BUY,NOVA,USD,Restricted Stock Lapse,21,265.00,5565.00,,"RSU vest"
2023-11-15,BUY,NOVA,USD,Restricted Stock Lapse,14,265.00,3710.00,,"RSU vest"
2024-02-05,SELL,DIGI,USD,DIGI SYSTEMS CLASS A,69,360.00,24840.00,0.20,
2024-02-15,BUY,NOVA,USD,Restricted Stock Lapse,20,370.00,7400.00,,"RSU vest"
2024-02-15,BUY,NOVA,USD,Restricted Stock Lapse,14,370.00,5180.00,,"RSU vest"
2024-02-22,SELL,NOVA,USD,NOVA TECH CLASS A,35,375.00,13125.00,0.10,
2024-05-15,BUY,ACME,USD,Restricted Stock Lapse,20,368.00,7360.00,,"RSU vest"
2024-05-15,BUY,TECH,USD,Restricted Stock Lapse,8,368.00,2944.00,,"RSU vest"
2024-05-15,BUY,TECH,USD,Restricted Stock Lapse,14,368.00,5152.00,,"RSU vest"
2024-08-15,BUY,DIGI,USD,Restricted Stock Lapse,15,410.00,6150.00,,"RSU vest"
2024-08-15,BUY,DIGI,USD,Restricted Stock Lapse,21,410.00,8610.00,,"RSU vest"
2024-08-15,BUY,NOVA,USD,Restricted Stock Lapse,7,410.00,2870.00,,"RSU vest"
2024-08-21,SELL,ACME,USD,ACME CORP CLASS A,40,420.00,16800.00,0.50,
2024-11-14,SELL,TECH,USD,TECH INC CLASS A,22,450.00,9900.00,0.25,
2024-11-15,BUY,ACME,USD,Restricted Stock Lapse,14,450.00,6300.00,,"RSU vest"
2024-11-15,BUY,TECH,USD,Restricted Stock Lapse,7,450.00,3150.00,,"RSU vest"
2024-11-15,BUY,TECH,USD,Restricted Stock Lapse,20,450.00,9000.00,,"RSU vest"
2025-01-31,SELL,DIGI,USD,DIGI SYSTEMS CLASS A,63,545.00,34335.00,1.00,
2025-02-15,BUY,NOVA,USD,Restricted Stock Lapse,8,575.00,4600.00,,"RSU vest"
2025-02-15,BUY,NOVA,USD,Restricted Stock Lapse,20,575.00,11500.00,,"RSU vest"
2025-02-15,BUY,ACME,USD,Restricted Stock Lapse,14,575.00,8050.00,,"RSU vest"
2025-05-15,BUY,TECH,USD,Restricted Stock Lapse,14,515.00,7210.00,,"RSU vest"
2025-05-15,BUY,DIGI,USD,Restricted Stock Lapse,7,515.00,3605.00,,"RSU vest"
2025-05-15,BUY,DIGI,USD,Restricted Stock Lapse,7,515.00,3605.00,,"RSU vest"
2025-05-15,BUY,NOVA,USD,Restricted Stock Lapse,21,515.00,10815.00,,"RSU vest"
2025-08-12,SELL,ACME,USD,ACME CORP CLASS A,92,615.00,56580.00,0.01,
2025-08-15,BUY,TECH,USD,Restricted Stock Lapse,20,610.00,12200.00,,"RSU vest"
2025-08-15,BUY,DIGI,USD,Restricted Stock Lapse,14,610.00,8540.00,,"RSU vest"
2025-08-15,BUY,NOVA,USD,Restricted Stock Lapse,7,610.00,4270.00,,"RSU vest"
2025-08-15,BUY,ACME,USD,Restricted Stock Lapse,7,610.00,4270.00,,"RSU vest"
