Transactions,,,,,,,,,,
User,Jane_Doe,a1b2c3d4-5678-90ab-cdef-1234567890ab,,,,,,,,
ID,Timestamp,Transaction Type,Asset,Quantity Transacted,Price Currency,Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
abc123def456789a,2025-06-15 10:30:00 UTC,Staking Income,ETH,0.0035,GBP,£2200.00,£7.70000,£7.70000,£0.00,
def456abc789012b,2025-06-14 14:45:00 UTC,Staking Income,XTZ,0.000027,GBP,£0.50,£0.00001,£0.00001,£0.00,
ghi789def012345c,2025-06-13 09:20:00 UTC,Staking Income,ADA,0.00045,GBP,£0.35,£0.00016,£0.00016,£0.00,
jkl012ghi345678d,2025-06-12 16:00:00 UTC,Reward Income,USDC,0.27,GBP,£0.75,£0.20250,£0.20250,£0.00,Received 0.270000 USDC from Coinbase Rewards
mno345jkl678901e,2025-06-11 11:15:00 UTC,Reward Income,ADA,0.5,GBP,£0.30,£0.15000,£0.21600,£0.06600,Received 0.500000 ADA from Coinbase Rewards
pqr678mno901234f,2025-05-25 22:54:43 UTC,Advanced Trade Sell,EOS,-484.8,GBP,£0.56,-£271.49,-£269.86,£1.63,Sold 484.8 EOS for 366.04 USDC on EOS-USDC at 0.76 USDC/EOS
stu901pqr234567g,2025-03-09 22:12:59 UTC,Advanced Trade Buy,BTC,0.035,GBP,£63000.00,£2205.00,£2218.23,£13.23,Bought 0.03500000 BTC for 2218.23 GBP on BTC-GBP at 63000 GBP/BTC
vwx234stu567890h,2025-02-03 13:11:31 UTC,Deposit,GBP,5000,GBP,£1.00,£5000.00,£5000.00,£0.00,Deposit from UK BANK ACCOUNT (04-00-00:****1234)
yza567vwx890123i,2019-05-06 13:07:41 UTC,Deposit,EUR,100,GBP,£0.86,£86.00,£86.00,£0.00,Deposit from Revolut (GB91 REVO 0099 7095 7645 01)
bcd890yza123456j,2024-02-01 17:28:32 UTC,Receive,USDC,0.07412,GBP,£0.79,£0.05866,£0.05866,£0.00,Received 0.07412 USDC from Network Deprecation
efg123bcd456789k,2023-12-10 19:08:19 UTC,Receive,EOS,440.9264,GBP,£0.66,£290.41,£290.41,£0.00,Received 440.9264 EOS from external sender
hij456efg789012l,2022-05-30 09:04:58 UTC,Buy,EOS,550,GBP,£1.07,£588.50,£602.48,£13.98,Bought 550 EOS for 602.48 GBP
klm789hij012345m,2020-06-25 00:25:29 UTC,Buy,MKR,0.5,GBP,£390.00,£195.00,£199.00,£4.00,Bought 0.50000000 MKR for 199.00 GBP
nop012klm345678n,2024-09-25 21:49:05 UTC,Sell,MKR,-0.5,GBP,£1180.00,£590.00,£581.18,£8.82,Sold 0.50000000 MKR for 581.18 GBP
qrs345nop678901o,2020-03-04 00:01:39 UTC,Sell,LINK,-50,GBP,£3.50,£175.00,£172.00,£3.00,Sold 50.00000000 LINK for 172.00 GBP
tuv678qrs901234p,2022-05-30 09:07:29 UTC,Send,EOS,-1,GBP,£1.06,-£1.06,-£1.06,£0.00,Sent 1 EOS to external recipient
wxy901tuv234567q,2020-01-08 08:39:58 UTC,Send,ETH,-5.000189,GBP,£109.54,-£547.74,-£547.74,£0.00,Sent 5.000189 ETH to 0xABC123...DEF456
zab234wxy567890r,2022-08-15 09:50:06 UTC,Convert,ETH,-3.1495564,GBP,£1576.58,£4948.25,£4948.25,£0.00,Converted 3.1495564 ETH to 3.1495564 ETH2
cde567zab890123s,2025-01-21 19:58:23 UTC,Retail Eth2 Deprecation,ETH,15.64374695,GBP,£2703.77,£42297.06,£42297.06,£0.00,
fgh890cde123456t,2025-01-21 19:58:22 UTC,Retail Eth2 Deprecation,ETH2,-15.64374695,GBP,£2703.77,-£42297.06,-£42297.06,£0.00,
ijk123fgh456789u,2023-03-25 01:51:28 UTC,Retail Staking Transfer,ADA,1900,GBP,£0.29,£551.00,£551.00,£0.00,
lmn456ijk789012v,2023-03-25 01:51:28 UTC,Retail Staking Transfer,ADA,-1900,GBP,£0.29,-£551.00,-£551.00,£0.00,
opq789lmn012345w,2024-10-28 14:00:05 UTC,Retail Unstaking Transfer,ADA,1969.894108,GBP,£0.26,£512.17,£512.17,£0.00,
rst012opq345678x,2024-10-28 14:00:05 UTC,Retail Unstaking Transfer,ADA,-1969.894108,GBP,£0.26,-£512.17,-£512.17,£0.00,
uvw345rst678901y,2022-12-02 00:43:53 UTC,Pro Withdrawal,ETH,0.01918775,GBP,£1046.14,£20.07,£20.07,£0.00,
xyz678uvw901234z,2022-12-02 00:43:43 UTC,Pro Withdrawal,BTC,0.12382043,GBP,£13881.30,£1718.79,£1718.79,£0.00,
abc901xyz234567a,2021-06-21 00:14:58 UTC,Pro Deposit,GBP,-3500,GBP,£1.00,-£3500.00,-£3500.00,£0.00,
