portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,191723,XRP-GBP,BUY,2020-10-14T10:42:20.072Z,1008.74935600,XRP,0.1943,0.979999999354,-196.979999870154,GBP
default,191724,XRP-GBP,BUY,2020-10-14T10:42:20.081Z,20.58672200,XRP,0.1943,0.020000000423,-4.020000085023,GBP
default,216544,XRP-GBP,BUY,2020-10-31T23:41:35.403Z,8291.87396300,XRP,0.186,7.71144278559,-1549.99999990359,GBP
default,248602,LINK-ETH,BUY,2020-03-08T02:07:38.824Z,28.23000000,LINK,0.01834,0.002588691,-0.520326891,ETH
default,248605,LINK-ETH,BUY,2020-03-08T02:14:16.435Z,44.00000000,LINK,0.01834,0.0040348,-0.8109948,ETH
default,248607,LINK-ETH,BUY,2020-03-08T02:18:46.695Z,0.47000000,LINK,0.01834,0.000043099,-0.008662899,ETH
default,294134,LINK-ETH,BUY,2020-03-20T20:26:01.119Z,36.85000000,LINK,0.01695,0.0031230375,-0.6277305375,ETH
default,294135,LINK-ETH,BUY,2020-03-20T20:26:01.161Z,1.58000000,LINK,0.01695,0.000133905,-0.026914905,ETH
default,294136,LINK-ETH,BUY,2020-03-20T20:26:01.959Z,52.60000000,LINK,0.01695,0.00445785,-0.89602785,ETH
default,294137,LINK-ETH,BUY,2020-03-20T20:26:03.820Z,30.63000000,LINK,0.01695,0.0025958925,-0.5217743925,ETH
default,299085,LINK-ETH,SELL,2020-03-24T10:01:33.766Z,60.00000000,LINK,0.01668,0.005004,0.995796,ETH
default,414359,LINK-ETH,SELL,2020-06-23T14:46:33.914Z,40.00000000,LINK,0.02,0.004,0.796,ETH
default,504756,LINK-ETH,SELL,2020-07-20T19:19:59.192Z,30.00000000,LINK,0.031,0.00465,0.92535,ETH
default,867710,LINK-ETH,SELL,2020-09-03T10:16:41.764Z,20.00000000,LINK,0.03330577,0.003330577,0.662784823,ETH
default,976569,LINK-ETH,BUY,2020-10-12T01:36:41.094Z,60.04000000,LINK,0.02883637,0.008656678274,-1.739992333074,ETH
default,1228654,ETH-GBP,BUY,2020-03-20T20:23:35.070Z,2.12521624,ETH,108,1.1476167696,-230.6709706896,GBP
default,1228655,ETH-GBP,BUY,2020-03-20T20:23:35.098Z,6.16490000,ETH,108,3.329046,-669.138246,GBP
default,1228656,ETH-GBP,BUY,2020-03-20T20:23:38.286Z,0.00000721,ETH,108,0.0000038934,-0.0007825734,GBP
default,1244802,ETH-GBP,SELL,2020-03-24T00:21:02.109Z,3.00000000,ETH,118,1.77,352.23,GBP
default,1259766,ETH-GBP,BUY,2020-03-27T23:45:18.970Z,3.00000000,ETH,105,1.575,-316.575,GBP
default,1278256,ETH-GBP,SELL,2020-04-02T17:01:46.724Z,3.00000000,ETH,118,1.77,352.23,GBP
default,1888059,ETH-GBP,BUY,2020-10-12T01:32:46.489Z,3.46155809,ETH,287.45,4.9751243648525,-999.9999973353525,GBP
default,10562396,BTC-GBP,BUY,2020-10-12T01:22:14.787Z,0.05382043,BTC,8723.09,2.3474022736435,-471.8278570023435,GBP
