Title,Type,Timestamp,Account Currency,Total Amount,Buy / Sell,Ticker,ISIN,Price per Share in Account Currency,Stamp Duty,Quantity,Venue,Order ID,Order Type,Instrument Currency,Total Shares Amount,Price per Share,FX Rate,Base FX Rate,FX Fee (BPS),FX Fee Amount,Dividend Ex Date,Dividend Pay Date,Dividend Eligible Quantity,Dividend Amount Per Share,Dividend Gross Distribution Amount,Dividend Net Distribution Amount,Dividend Withheld Tax Percentage,Dividend Withheld Tax Amount,Stock Split Ex Date,Stock Split Pay Date,Stock Split New ISIN,Stock Split Rate of Share Outturn From,Stock Split Rate of Share Outturn To,Stock Split Maintain Holding of Initial ISIN,Stock Split New Share Quantity,Stock Split Rate of Cash Outturn Amount,Stock Split Rate of Cash Outturn Currency,Stock Split Cash Outturn Received Amount,Stock Split Has Fractional Payout,Stock Split Rate of Fractional Payout Amount,Stock Split Rate of Fractional Payout Currency,Stock Split Fractional Payout Cash Received Amount,Stock Split Fractional Payout Cash Received Currency
November Statement,MONTHLY_STATEMENT,2025-11-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Certificate 2024-25,TAX_CERTIFICATE,2025-10-28T17:24:15.603Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-10-15T00:00:00.000Z,GBP,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October Statement,MONTHLY_STATEMENT,2025-10-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechCorp,DIVIDEND,2025-09-20T11:30:00.000Z,GBP,5.50,,TECH,US1234567890,,,20.00000000,,,,USD,,,,0.78500000,0,0.00,2025-08-25,2025-09-20,20.00000000,0.55000000,11.00,9.35,15,1.65,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-09-16T00:00:00.000Z,GBP,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September Statement,MONTHLY_STATEMENT,2025-09-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GlobalBank,ORDER,2025-08-22T14:30:25.123Z,GBP,2500.00,SELL,GBNK,GB0987654321,125.00000000,0.00,20.00000000,London Stock Exchange,ORD123456790,BASIC,GBP,2500.00,125.00000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
GlobalBank,ORDER,2025-08-01T10:15:30.456Z,GBP,2000.00,BUY,GBNK,GB0987654321,100.00000000,10.00,20.00000000,London Stock Exchange,ORD123456789,BASIC,GBP,2000.00,100.00000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-08-15T00:00:00.000Z,GBP,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
