Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"April 1, 2020 - June 2, 2025"
Statement,Data,WhenGenerated,"2026-01-09, 10:01:42 EST"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,GBP
Summary,Data,Starting Cash,101.0
Summary,Data,Change,1070.46
Summary,Data,Ending Cash,1171.46
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Gross Amount ,Commission,Net Amount
Transaction History,Data,2025-09-07,U1234567,Bond Coupon Payment (UKT 2 09/07/25 - United Kingdom Gilt UKT 2 09/07/25),Investment Interest Received,UKT 2 09/07/25,-,-,1100.00,-,1100.00
Transaction History,Data,2025-08-15,U1234567,VANG S&P500 USDD,Sell,VUSD,-50.0,100.00,4500.00,-2.50,4497.50
Transaction History,Data,2025-06-02,U1234567,FX Translations P&L,Adjustment,-,-,-,-593.38,-,-593.38
Transaction History,Data,2025-04-02,U1234567,VUSD(IE00B3XXRP09) Cash Dividend USD 0.32063 per Share (Mixed Income),Dividend,VUSD,-,-,24.47,-,24.47
Transaction History,Data,2025-03-25,U1234567,Purchase Accrued Interest UKT 0 5/8 06/07/25,Investment Interest Paid,UKT 0 5/8 06/07/25,-,-,-1.87,-,-1.87
Transaction History,Data,2025-03-25,U1234567,UKT 0 5/8 06/07/25,Buy,UKT 0 5/8 06/07/25,1000.0,99.312,-993.12,-1.0,-994.12
Transaction History,Data,2025-03-22,U1234567,Electronic Fund Transfer,Deposit,-,-,-,1000.0,-,1000.0
Transaction History,Data,2024-10-03,U1234567,USD Credit Interest for Sep-2024,Credit Interest,-,-,-,0.91,-,0.91
Transaction History,Data,2024-09-27,U1234567,VANG S&P500 USDD,Buy,VUSD,100.0,108.75,-8132.00,-4.49,-8136.49
Transaction History,Data,2024-09-10,U1234567,JMIA(48138M105) ADR Fee USD 0.03 per Share,Other Fee,JMIA,-,-,-2.25,-,-2.25
Transaction History,Data,2024-01-15,U1234567,Disbursement Initiated by John Smith,Withdrawal,-,-,-,-10000.0,-,-10000.0
Transaction History,Data,2022-02-03,U1234567,USD Debit Interest for Jan-2022,Debit Interest,-,-,-,-14.63,-,-14.63
Transaction History,Data,2022-01-21,U1234567,"Net Amount in Base from Forex Trade: -20,000 GBP.USD",Forex Trade Component,GBP.USD,-20000.0,1.35551,0.43,-1.47,0.43
Transaction History,Data,2021-10-04,U1234567,VAT Account:Global Snapshot PnP,Sales Tax,-,-,-,-0.004,-,-0.004
